id,university, major, degree, decision, status, year, gpafin, grev, grem, grew, new_gre
490,Columbia University (Fu Foundation SEAS),CS,Masters,Rejected,A,2018,3.87,151,170,4,TRUE
491,"Ohio State University (OSU) , Columbus",CS,PhD,Rejected,I,2018,3.5,160,163,3.5,TRUE
493,University Of Michigan,CS,Masters,Accepted,U,2018,3.86,170,153,4,TRUE
494,ีUniversity Of Wisconsin - Madison,CS,Masters,Accepted,I,2018,3.7,165,169,5,TRUE
495,Carnagie Mellon University (CMU) LTI,CS,Masters,Accepted,I,2018,3.3,154,168,3.5,TRUE
503,The University Of Tennessee Knoxville (UTK),CS,PhD,Accepted,I,2018,3.96,152,169,3.5,TRUE
506,JHU (Johns Hopkins University),CS,Masters,Rejected,I,2018,3.6,158,166,4,TRUE
507,JHU (Johns Hopkins University),CS,Masters,Rejected,I,2018,3.5,160,163,3.5,TRUE
510,John Hopkins Unviersity,CS,Masters,Rejected,I,2018,8.6,158,167,4,TRUE
511,The University Of Massachusetts Amherst (UMass),CS,Masters,Rejected,I,2018,3.7,165,167,5,TRUE
513,NC State (North Carolina State),CS,Masters,Rejected,I,2018,3.37,152,161,4,TRUE
514,Gatech (Georgia Tech),CS,Masters,Rejected,I,2018,3.37,152,161,4,TRUE
518,Georgia Institute Of Technology (Georgia Tech),CS,Masters,Accepted,A,2018,3.6,168,167,5,TRUE
519,GaTech (Georgia Institute Of Technology),CS,Masters,Rejected,I,2018,9.65,151,170,4.5,TRUE
528,University Of Minnesota - Twin Cities (UMN),CS,Masters,Accepted,A,2018,3,169,164,5,TRUE
531,"McGill University (Montreal, Canada)",CS,Masters,Accepted,I,2018,3.7,164,167,3.5,TRUE
534,Georgia  Institute Of Technology (Gatech/Georgia Tech),CS,Masters,Rejected,I,2018,3.67,164,169,3.5,TRUE
536,GaTech (Georgia Institute Of Technology),CS,Masters,Rejected,I,2018,3.8,154,164,4,TRUE
541,University Of Minnesota - Twin Cities (UMN),CS,Masters,Accepted,I,2018,3.6,158,169,4,TRUE
542,University Of Minnesota - Twin Cities (UMN),CS,Masters,Accepted,I,2018,3.7,162,170,4,TRUE
545,Ohio State Univerisity,CS,Masters,Rejected,I,2018,3.2,158,169,4,TRUE
546,Rutgers (New Brunswick),CS,Masters,Rejected,I,2018,3.2,158,169,4,TRUE
549,University Of Minnesota - Twin Cities (UMN),CS,Masters,Rejected,I,2018,3.66,150,170,4,TRUE
560,Brown Univerisity,CS,Masters,Rejected,A,2018,4,167,163,4,TRUE
565,John Hopkins University,CS,Masters,Accepted,I,2018,3.7,159,170,4,TRUE
566,Ohio State (OSU),CS,Masters,Rejected,I,2018,3.2,154,167,3.5,TRUE
569,Nyu,CS,Masters,Rejected,I,2018,3,161,162,4.5,TRUE
571,Northeastern University,CS,Masters,Accepted,U,2018,3.56,157,164,4,TRUE
572,Georgia Institute Of Technology ( GaTech ),CS,PhD,Rejected,U,2018,3.93,163,170,5.5,TRUE
575,Georgia  Institute Of Technology (Gatech Georgia Tech),CS,Masters,Accepted,U,2018,3.6,164,162,,TRUE
580,NCSU (North Carolina State University),CS,Masters,Accepted,I,2018,8.73,153,167,4,TRUE
581,New York Univeristy (NYU GSAS),CS,Masters,Rejected,I,2018,3.86,158,166,4,TRUE
584,UMass (Amherst),CS,Masters,Rejected,I,2018,8.88,156,165,3.5,TRUE
591,Georgia  Institute Of Technology (Gatech Georgia Tech),CS,Masters,Accepted,A,2018,3.75,153,153,4,TRUE
598,Georgia Institute Of Technology ( GaTech ),CS,Masters,Accepted,I,2018,3.3,153,168,3.5,TRUE
600,GaTech (Georgia Institute Of Technology),CS,PhD,Rejected,I,2018,3.99,156,170,3,TRUE
602,GaTech (Georgia Institute Of Technology),CS,Masters,Accepted,U,2018,3.94,155,165,3.5,TRUE
603,GaTech (Georgia Institute Of Technology),CS,PhD,Rejected,A,2018,4,159,169,4.5,TRUE
608,Umass - Ahermet,CS,Masters,Rejected,I,2018,3.6,162,170,4,TRUE
609,UMass (Amherst),CS,Masters,Accepted,U,2018,3.94,155,165,3.5,TRUE
612,NCSU (North Carolina State University),CS,Masters,Rejected,I,2018,8.53,165,167,4,TRUE
614,The University Of Massachusetts Amherst (UMass),CS,Masters,Rejected,I,2018,3.5,161,170,4.5,TRUE
615,California Institue Of Technology (Caltech),CS,PhD,Rejected,I,2018,3.55,160,166,3.5,TRUE
616,The University Of Houston,CS,PhD,Accepted,I,2018,3.51,145,168,3,TRUE
617,Oregon State University,CS,PhD,Rejected,I,2018,3.51,145,168,3,TRUE
618,Washington University St Louis,CS,PhD,Rejected,I,2018,3.51,145,168,3,TRUE
619,The University Of Massachusetts Amherst,CS,PhD,Rejected,I,2018,3.51,145,168,3,TRUE
621,The University Of Iowa,CS,PhD,Accepted,I,2018,3.5,154,159,,TRUE
624,The University Of Massachusetts Amherst (UMass),CS,Masters,Rejected,I,2018,8.5,167,160,4.5,TRUE
625,NCSU (North Carolina State University),CS,Masters,Rejected,I,2018,9.65,151,170,4.5,TRUE
626,UMass (Amherst),CS,Masters,Rejected,I,2018,9,161,170,4.5,TRUE
630,GaTech (Georgia Institute Of Technology),CS,PhD,Rejected,A,2018,4,163,166,4.5,TRUE
638,"The University Of Colorado, Boulder",CS,PhD,Rejected,A,2018,3.2,167,168,5.5,TRUE
641,"University Of Michigan, Ann Arbor",CS,Masters,Accepted,I,2018,3.7,164,167,3.5,TRUE
642,"University Of Michigan, Ann Arbor (Umich)",CS,Masters,Accepted,A,2018,3.73,168,160,4,TRUE
649,University Of British Columbia,CS,Masters,Rejected,I,2018,3.9,159,168,4,TRUE
650,University Of Colorado Boulder (CU Boulder),CS,PhD,Rejected,I,2018,3.7,161,166,4,TRUE
653,The University Of Southern California (USC),CS,Masters,Accepted,I,2018,3.5,169,150,3,TRUE
654,Columbia University (FFSEAS),CS,Masters,Rejected,I,2018,3.5,169,150,3,TRUE
655,UC Davis,CS,Masters,Accepted,A,2018,3.6,164,169,4.5,TRUE
656,McGill Univerisity,CS,Masters,Accepted,I,2018,3.8,157,170,4,TRUE
661,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,3.7,152,162,4,TRUE
664,University Of Washington St Louis (WUSTL),CS,Masters,Accepted,I,2018,3.67,164,169,3.5,TRUE
666,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,A,2018,3.77,164,161,4,TRUE
667,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,7.5,157,165,4,TRUE
669,Umass Amherst,CS,Masters,Rejected,I,2018,7.5,157,165,4,TRUE
670,UC San Diego (UCSD),CS,Masters,Rejected,A,2018,3.6,168,168,5.5,TRUE
671,"University Of Michigan, Ann Arbor (Umich)",CS,Masters,Accepted,A,2018,3.6,168,168,5.5,TRUE
672,"University Of Michigan, Ann Arbor",CS,Masters,Accepted,I,2018,9.65,151,170,4.5,TRUE
676,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,3.7,158,165,4.5,TRUE
677,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,3,155,168,3,TRUE
679,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,8.41,156,164,3.5,TRUE
681,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,3.26,156,168,4,TRUE
685,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,2.96,156,170,3,TRUE
687,The University Of Cincinnati,CS,Masters,Accepted,I,2018,3.4,160,170,3.5,TRUE
689,"UCSD (University Of California, San Diego)",CS,Masters,Accepted,I,2018,3.8,155,168,4,TRUE
690,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,3.1,162,165,4.5,TRUE
696,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,U,2018,3.5,161,170,4.5,TRUE
697,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,U,2018,3.7,156,169,5,TRUE
700,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,3.52,144,168,3,TRUE
701,University Of Florida (UFL),CS,Masters,Rejected,I,2018,3.67,164,169,3.5,TRUE
702,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,3.67,164,169,3.5,TRUE
703,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,3.5,163,163,5,TRUE
704,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,U,2018,3.63,155,170,4,TRUE
708,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,A,2018,3.54,160,170,4.5,TRUE
712,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,3.6,157,166,,TRUE
714,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,3.94,158,167,,TRUE
715,UCLA,CS,Masters,Rejected,I,2018,9.6,166,170,5,TRUE
717,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,8.56,166,170,4,TRUE
720,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,3.54,148,170,4,TRUE
722,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,I,2018,8.53,165,167,4,TRUE
723,University Of California San Diego (UCSD),CS,Masters,Rejected,I,2018,3.32,153,170,3.5,TRUE
724,"Courant Institute, New York Univesity (NYU)",CS,Masters,Accepted,I,2018,3.75,151,170,3,TRUE
